Reading /metrica/scratch/strainer_dev/ATCC20_Bacillus_pacificus_ATCC10987.retarget.parquet...
156/21139
Using 30 threads
Building hash -> kmer lookup...
Built lookup for 53399 kmers
Shard dir: /tmp/kmer_pairs_f84tdd_s
[1/156] GCA_041859945.1_ASM4185994v1_genomic: 1 kmers
[2/156] GCA_900232885.1_PRJEB22828_genomic: 2 kmers
[3/156] GCA_039532645.1_ASM3953264v1_genomic: 21 kmers
[4/156] Anaeromassilibacillus_1001302sp1_D41st1_C2_D41t1_190614: 2 kmers
[5/156] GCA_905207735.1_ERR414419-mag-bin.5_genomic: 54 kmers
[6/156] GCA_900754345.1_ERS396473_14_genomic: 54 kmers
[7/156] Anaeromassilibacillus_sp_D41t1_190614_C2_NODE_10_length_116133_cov_386943-3107887-JADMOD0100000101: 2 kmers
[8/156] Bacillus_coagulans_strain_BC_HY1-3599077-CP0178881: 1 kmers
[9/156] Bacillus_licheniformis_strain_CCUG_31354_CHCC20344-4157748-NIKN010000271: 34 kmers
[10/156] Bacillus_coagulans_P38-3374323-JSVI010000011: 1 kmers
[11/156] Bacillus_paralicheniformis_strain_J1101004_170508_G4_NODE_10_length_19798_cov_502329-4515245-JADNPI0100000101: 9 kmers
[12/156] Bacillus_licheniformis_strain_DSM_30615_CHCC20341-4095430-NIKQ010000061: 34 kmers
[13/156] Bacillus_licheniformis_strain_TCCC_11148-4341076-CP0332181: 19 kmers
[14/156] Bacillus_licheniformis_strain_7709-4255506-NPCR010000011: 467 kmers
[15/156] Bacillus_paralicheniformis_J1101004st3_G4_J1101004_170508: 9 kmers
[16/156] Clostridium_botulinum_strain_IFR_18026-3831714-SWPW010000011: 1 kmers
[17/156] Bacillus_licheniformis_strain_B4090_201601_NODE_1-4296935-LQYL010000011: 154 kmers
[18/156] Bacillus_coagulans_strain_CICC_20138-3386433-JAABON0100000011: 614 kmers
[19/156] Bacillus_licheniformis_strain_BAC_15139_CHCC15139-4202992-NILT010000051: 34 kmers
[20/156] Clostridium_cuniculi_strain_BSD2780120875_150330_B8_NODE_100_length_12898_cov_337719-3550747-JADPFD0100001001: 3 kmers
[21/156] Clostridium_sp_IBUN125C_ClosIBUN125C-4596888-JZWF010000011: 12 kmers
[22/156] Bacillus_coagulans_2_6-3073079-CP0024721: 436 kmers
[23/156] Clostridium_cuniculi_BSD2780120875st1_B8_BSD2780120875_150330: 3 kmers
[24/156] Bacillus_licheniformis_strain_BAC_14816_CHCC14816-4149201-NIMD010000151: 459 kmers
[25/156] Clostridium_perfringens_WAL_14572_genomic-3466039-JH5945331: 2 kmers
[26/156] Clostridium_sp_IBUN22A_ClosIBUN22A-4607385-JZWE010000011: 12 kmers
[27/156] Bacillus_licheniformis_strain_M_46_CHCC20342-4410515-NIKP010000261: 978 kmers
[28/156] Clostridium_sporogenes_strain_Colworth_BL172-4013029-SWNP010000011: 1 kmers
[29/156] Clostridium_sporogenes_strain_CLS_DGF_0088_06_CLSDGF008806_1-4142075-MWJJ010000011: 55 kmers
[30/156] Clostridium_sporogenes_strain_IFR_18123-4131587-SXBO010000011: 401 kmers
[31/156] Clostridium_sp_IBUN62F_ClosIBUN62F-3836807-JZWH010000011: 12 kmers
[32/156] Clostridium_sporogenes_strain_PA_3679_isolate_FDA_VT91-4021963-LJTA010000011: 1 kmers
[33/156] Clostridium_sporogenes_strain_IFR_18001-4203556-SWWI010000011: 485 kmers
[34/156] GCA_000968315.1_CLOSIBUN13Av1.0_genomic: 12 kmers
[35/156] Clostridium_tepidum_strain_BSD2780120874b_170522_A10_NODE_10_length_142578_cov_687469-3120551-JADPGM0100000101: 89 kmers
[36/156] Clostridium_tyrobutyricum_1001713st1_A1_1001713B170207_170306: 5 kmers
[37/156] Enterococcus_hirae_strain_FSIS11815565_SAMN10411540_rid6811913denovo01-2741740-AAXGXV0100000011: 9 kmers
[38/156] Clostridium_tyrobutyricum_strain_FAM22553-3085051-JTES010000011: 2 kmers
[39/156] Enterococcus_faecium_strain_VREN0338_SAMEA3484465_rid9479953denovo01-2870651-DACJRL0100000011: 9 kmers
[40/156] Enterobacter_cloacae_strain_CRE86_NODE_1000_length_241_cov_147849-5296850-PXJR010010001: 2 kmers
[41/156] GCA_000333915.1_XZL9_v1_genomic: 1 kmers
[42/156] Enterococcus_faecium_strain_CVM_N59711F_N59711F_S50_L001_R1_001-2870574-PTUU010000011: 6 kmers
